"NAME","PATTERN","1"
"AKRIMOTA_LIG_TPS","M1-12",2.5
"BARODA_CCPP","M1-12",1.05
"BHAVNAGAR_CFBC_TPP","M1-12",5
"DHUVARAN_CCPP","M1-12",18.8
"DHUVARAN_7","M1-12",5.35
"DHUVARAN_8","M1-12",5.6
"GANDHAR_CCPP","M1-12",11.85
"GANDHI_NAGAR_TPS","M1-12",5.8
"HAZIRA_CCPP","M1-12",2.6
"HAZIRA_CCPP_EXT","M1-12",17.55
"Kachchh_LIG_TPS","M1-12",1.07
"KADANA_HPS","M1-12",30.25
"KAKRAPARA","M1-12",3.75
"KAWAS_CCPP","M1-12",9.35
"MUNDRA_TPS","M1-12",10
"MUNDRA_UMTPP","M1-12",7.22
"PAGUTHAN_CCPP","M1-12",8.19
"PIPAVAV_CCPP","M1-12",17.55
"SABARMATI_D_F","M1-12",2.14
"SALAYA_TPP","M1-12",10
"SIKKA_REP_TPS","M1-12",5
"SSAROVAR_CHPH","M1-12",46.5
"SUGEN_CCPP","M1-12",13.92
"SURAT_LIG_TPS","M1-12",1.25
"UKAI_HPS","M1-12",38.12
"UKAI_TPS_1_5","M1-12",5.67
"UKAI_TPS_6","M1-12",10
"UTRAN_CCPP","M1-12",9.38
"WANAKBORI_TPS","M1-12",4.2
"NPC_Tarapur1","M1-12",4.8
"NPC_Tarapur2","M1-12",8.22
"NTPC_Kahlagaon","M1-12",2.82
"NTPC_Mauda","M1-12",4.8
"NTPC_Mauda Stage_1","M1-12",2.94
"NTPC_Mauda Stage_2","M1-12",2.94
"NTPC_Vindhyachal","M1-12",4.6
"NTPC_Vindhyachal _ 1","M1-12",4.78
"NTPC_Vindhyachal _ 2","M1-12",5.32
"NTPC_Korba","M1-12",7.2
"NTPC_Korba _II","M1-12",1.92
"NTPC_Sipat_I","M1-12",10.8
"NTPC_Sipat _ II","M1-12",5.46
"NTPC_Vindhyachal _ IV","M1-12",4.8
"NTPC_Vindhyachal _ V","M1-12",1.86
"NTPC_Lara_1","M1-12",2.8
"NTPC_Gadarwara Stage_1","M1-12",2.2
"NTPC_Gadarwara Stage_2","M1-12",2.2
"NTPC_Lara_2","M1-12",2.8
"NEW_NTPC_North_Karanpura_1","M1-12",1.54
"NEW_NTPC_North_Karanpura_2","M1-12",1.54
"NEW_NTPC_North_Karanpura_3","M1-12",1.54
"NEW_NTPC_Khargone_1","M1-12",2.2
"NEW_NTPC_Khargone_2","M1-12",2.2
"NEW_Dhuvaran","M1-12",16
"NEW_Wanakbori_TPS_Extn","M1-12",16
"NEW_KAKRAPARA","M1-12",7.14
