Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M10, D1",24.39775,28.418,38.00225,21.982
"M10, D10",24.39775,28.418,38.00225,21.982
"M10, D11",24.39775,28.418,38.00225,21.982
"M10, D12",24.39775,28.418,38.00225,21.982
"M10, D13",24.39775,28.418,38.00225,21.982
"M10, D14",24.39775,28.418,38.00225,21.982
"M10, D15",24.39775,28.418,38.00225,21.982
"M10, D16",24.39775,28.418,38.00225,21.982
"M10, D17",24.39775,28.418,38.00225,21.982
"M10, D18",24.39775,28.418,38.00225,21.982
"M10, D19",24.39775,28.418,38.00225,21.982
"M10, D2",24.39775,28.418,38.00225,21.982
"M10, D20",24.39775,28.418,38.00225,21.982
"M10, D21",24.39775,28.418,38.00225,21.982
"M10, D22",24.39775,28.418,38.00225,21.982
"M10, D23",24.39775,28.418,38.00225,21.982
"M10, D24",24.39775,28.418,38.00225,21.982
"M10, D25",24.39775,28.418,38.00225,21.982
"M10, D26",24.39775,28.418,38.00225,21.982
"M10, D27",24.39775,28.418,38.00225,21.982
"M10, D28",24.39775,28.418,38.00225,21.982
"M10, D29",24.39775,28.418,38.00225,21.982
"M10, D3",24.39775,28.418,38.00225,21.982
"M10, D30",24.39775,28.418,38.00225,21.982
"M10, D31",24.39775,28.418,38.00225,21.982
"M10, D4",24.39775,28.418,38.00225,21.982
"M10, D5",24.39775,28.418,38.00225,21.982
"M10, D6",24.39775,28.418,38.00225,21.982
"M10, D7",24.39775,28.418,38.00225,21.982
"M10, D8",24.39775,28.418,38.00225,21.982
"M10, D9",24.39775,28.418,38.00225,21.982
"M11, D1",26.325,29.4065,36.075,20.9935
"M11, D10",26.325,29.4065,36.075,20.9935
"M11, D11",26.325,29.4065,36.075,20.9935
"M11, D12",26.325,29.4065,36.075,20.9935
"M11, D13",26.325,29.4065,36.075,20.9935
"M11, D14",26.325,29.4065,36.075,20.9935
"M11, D15",26.325,29.4065,36.075,20.9935
"M11, D16",26.325,29.4065,36.075,20.9935
"M11, D17",26.325,29.4065,36.075,20.9935
"M11, D18",26.325,29.4065,36.075,20.9935
"M11, D19",26.325,29.4065,36.075,20.9935
"M11, D2",26.325,29.4065,36.075,20.9935
"M11, D20",26.325,29.4065,36.075,20.9935
"M11, D21",26.325,29.4065,36.075,20.9935
"M11, D22",26.325,29.4065,36.075,20.9935
"M11, D23",26.325,29.4065,36.075,20.9935
"M11, D24",26.325,29.4065,36.075,20.9935
"M11, D25",26.325,29.4065,36.075,20.9935
"M11, D26",26.325,29.4065,36.075,20.9935
"M11, D27",26.325,29.4065,36.075,20.9935
"M11, D28",26.325,29.4065,36.075,20.9935
"M11, D29",26.325,29.4065,36.075,20.9935
"M11, D3",26.325,29.4065,36.075,20.9935
"M11, D30",26.325,29.4065,36.075,20.9935
"M11, D4",26.325,29.4065,36.075,20.9935
"M11, D5",26.325,29.4065,36.075,20.9935
"M11, D6",26.325,29.4065,36.075,20.9935
"M11, D7",26.325,29.4065,36.075,20.9935
"M11, D8",26.325,29.4065,36.075,20.9935
"M11, D9",26.325,29.4065,36.075,20.9935
"M12, D1",32.9255,34.6875,29.4745,15.7125
"M12, D10",32.9255,34.6875,29.4745,15.7125
"M12, D11",32.9255,34.6875,29.4745,15.7125
"M12, D12",32.9255,34.6875,29.4745,15.7125
"M12, D13",32.9255,34.6875,29.4745,15.7125
"M12, D14",32.9255,34.6875,29.4745,15.7125
"M12, D15",32.9255,34.6875,29.4745,15.7125
"M12, D16",32.9255,34.6875,29.4745,15.7125
"M12, D17",32.9255,34.6875,29.4745,15.7125
"M12, D18",32.9255,34.6875,29.4745,15.7125
