Name,Pattern,1
PGVCL 1,"M4, D1",58
PGVCL 1,"M4, D2",58
PGVCL 1,"M4, D3",58
PGVCL 1,"M4, D4",58
PGVCL 1,"M4, D5",58
PGVCL 1,"M4, D6",58
PGVCL 1,"M4, D7",58
PGVCL 1,"M4, D8",58
PGVCL 1,"M4, D9",58
PGVCL 1,"M4, D10",58
PGVCL 1,"M4, D11",58
PGVCL 1,"M4, D12",58
PGVCL 1,"M4, D13",58
PGVCL 1,"M4, D14",58
PGVCL 1,"M4, D15",58
PGVCL 1,"M4, D16",58
PGVCL 1,"M4, D17",58
PGVCL 1,"M4, D18",58
PGVCL 1,"M4, D19",58
PGVCL 1,"M4, D20",58
PGVCL 1,"M4, D21",58
PGVCL 1,"M4, D22",58
PGVCL 1,"M4, D23",58
PGVCL 1,"M4, D24",58
PGVCL 1,"M4, D25",58
PGVCL 1,"M4, D26",58
PGVCL 1,"M4, D27",58
PGVCL 1,"M4, D28",58
PGVCL 1,"M4, D29",58
PGVCL 1,"M4, D30",58
PGVCL 2,"M4, D1",75
PGVCL 2,"M4, D2",75
PGVCL 2,"M4, D3",75
PGVCL 2,"M4, D4",75
PGVCL 2,"M4, D5",75
PGVCL 2,"M4, D6",75
PGVCL 2,"M4, D7",75
PGVCL 2,"M4, D8",75
PGVCL 2,"M4, D9",75
PGVCL 2,"M4, D10",75
PGVCL 2,"M4, D11",75
PGVCL 2,"M4, D12",75
PGVCL 2,"M4, D13",75
PGVCL 2,"M4, D14",75
PGVCL 2,"M4, D15",75
PGVCL 2,"M4, D16",75
PGVCL 2,"M4, D17",75
PGVCL 2,"M4, D18",75
PGVCL 2,"M4, D19",75
PGVCL 2,"M4, D20",75
PGVCL 2,"M4, D21",75
PGVCL 2,"M4, D22",75
PGVCL 2,"M4, D23",75
PGVCL 2,"M4, D24",75
PGVCL 2,"M4, D25",75
PGVCL 2,"M4, D26",75
PGVCL 2,"M4, D27",75
PGVCL 2,"M4, D28",75
PGVCL 2,"M4, D29",75
PGVCL 2,"M4, D30",75
PGVCL 3,"M4, D1",66
PGVCL 3,"M4, D2",66
PGVCL 3,"M4, D3",66
PGVCL 3,"M4, D4",66
PGVCL 3,"M4, D5",66
PGVCL 3,"M4, D6",66
PGVCL 3,"M4, D7",66
PGVCL 3,"M4, D8",66
PGVCL 3,"M4, D9",66
PGVCL 3,"M4, D10",66
PGVCL 3,"M4, D11",66
PGVCL 3,"M4, D12",66
PGVCL 3,"M4, D13",66
PGVCL 3,"M4, D14",66
PGVCL 3,"M4, D15",66
PGVCL 3,"M4, D16",66
PGVCL 3,"M4, D17",66
PGVCL 3,"M4, D18",66
PGVCL 3,"M4, D19",66
PGVCL 3,"M4, D20",66
PGVCL 3,"M4, D21",66
PGVCL 3,"M4, D22",66
PGVCL 3,"M4, D23",66
PGVCL 3,"M4, D24",66
PGVCL 3,"M4, D25",66
PGVCL 3,"M4, D26",66
PGVCL 3,"M4, D27",66
PGVCL 3,"M4, D28",66
PGVCL 3,"M4, D29",66
PGVCL 3,"M4, D30",66
PGVCL 4,"M4, D1",82
PGVCL 4,"M4, D2",82
PGVCL 4,"M4, D3",82
PGVCL 4,"M4, D4",82
PGVCL 4,"M4, D5",82
PGVCL 4,"M4, D6",82
PGVCL 4,"M4, D7",82
PGVCL 4,"M4, D8",82
PGVCL 4,"M4, D9",82
PGVCL 4,"M4, D10",82
PGVCL 4,"M4, D11",82
PGVCL 4,"M4, D12",82
PGVCL 4,"M4, D13",82
PGVCL 4,"M4, D14",82
PGVCL 4,"M4, D15",82
PGVCL 4,"M4, D16",82
PGVCL 4,"M4, D17",82
PGVCL 4,"M4, D18",82
PGVCL 4,"M4, D19",82
PGVCL 4,"M4, D20",82
PGVCL 4,"M4, D21",82
PGVCL 4,"M4, D22",82
PGVCL 4,"M4, D23",82
PGVCL 4,"M4, D24",82
PGVCL 4,"M4, D25",82
PGVCL 4,"M4, D26",82
PGVCL 4,"M4, D27",82
PGVCL 4,"M4, D28",82
PGVCL 4,"M4, D29",82
PGVCL 4,"M4, D30",82
