Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M4,D1,H1",2160,1967.5,440,132.5
"M4,D1,H2",2513,1967.5,87,132.5
"M4,D1,H3",2384,1967.5,216,132.5
"M4,D1,H4",2384,1927.5,216,172.5
"M4,D1,H5",2117,1727.5,483,372.5
"M4,D1,H6",2237.5,1772.5,362.5,327.5
"M4,D1,H7",2033,1820,567,280
"M4,D1,H8",2033,1715,567,385
"M4,D1,H9",1692.5,1890,907.5,210
"M4,D1,H10",1339.5,1425,1260.5,675
"M4,D1,H11",1510.5,1425,1089.5,675
"M4,D1,H12",1666.5,1425,933.5,675
"M4,D1,H13",1486,1610,1114,490
"M4,D1,H14",1313,1507.5,1287,592.5
"M4,D1,H15",1265.5,1275,1334.5,825
"M4,D1,H16",1265.5,1242.5,1334.5,857.5
"M4,D1,H17",948,1287.5,1652,812.5
"M4,D1,H18",948,1237.5,1652,862.5
"M4,D1,H19",777,1237.5,1823,862.5
"M4,D1,H20",750,1277.5,1850,822.5
"M4,D1,H21",1197.5,1292.5,1402.5,807.5
"M4,D1,H22",1250,1350,1350,750
"M4,D1,H23",1502,1535,1098,565
"M4,D1,H24",1502,1672.5,1098,427.5
"M4,D2,H1",2160,1967.5,440,132.5
"M4,D2,H2",2513,1967.5,87,132.5
"M4,D2,H3",2384,1967.5,216,132.5
"M4,D2,H4",2384,1927.5,216,172.5
"M4,D2,H5",2117,1727.5,483,372.5
"M4,D2,H6",2237.5,1772.5,362.5,327.5
"M4,D2,H7",2033,1820,567,280
"M4,D2,H8",2033,1715,567,385
"M4,D2,H9",1692.5,1890,907.5,210
"M4,D2,H10",1339.5,1425,1260.5,675
"M4,D2,H11",1510.5,1425,1089.5,675
"M4,D2,H12",1666.5,1425,933.5,675
"M4,D2,H13",1486,1610,1114,490
"M4,D2,H14",1313,1507.5,1287,592.5
"M4,D2,H15",1265.5,1275,1334.5,825
"M4,D2,H16",1265.5,1242.5,1334.5,857.5
"M4,D2,H17",948,1287.5,1652,812.5
"M4,D2,H18",948,1237.5,1652,862.5
"M4,D2,H19",777,1237.5,1823,862.5
"M4,D2,H20",750,1277.5,1850,822.5
"M4,D2,H21",1197.5,1292.5,1402.5,807.5
"M4,D2,H22",1250,1350,1350,750
"M4,D2,H23",1502,1535,1098,565
"M4,D2,H24",1502,1672.5,1098,427.5
"M4,D3,H1",2160,1967.5,440,132.5
"M4,D3,H2",2513,1967.5,87,132.5
"M4,D3,H3",2384,1967.5,216,132.5
"M4,D3,H4",2384,1927.5,216,172.5
"M4,D3,H5",2117,1727.5,483,372.5
"M4,D3,H6",2237.5,1772.5,362.5,327.5
"M4,D3,H7",2033,1820,567,280
"M4,D3,H8",2033,1715,567,385
"M4,D3,H9",1692.5,1890,907.5,210
"M4,D3,H10",1339.5,1425,1260.5,675
"M4,D3,H11",1510.5,1425,1089.5,675
"M4,D3,H12",1666.5,1425,933.5,675
"M4,D3,H13",1486,1610,1114,490
"M4,D3,H14",1313,1507.5,1287,592.5
"M4,D3,H15",1265.5,1275,1334.5,825
"M4,D3,H16",1265.5,1242.5,1334.5,857.5
"M4,D3,H17",948,1287.5,1652,812.5
"M4,D3,H18",948,1237.5,1652,862.5
"M4,D3,H19",777,1237.5,1823,862.5
"M4,D3,H20",750,1277.5,1850,822.5
"M4,D3,H21",1197.5,1292.5,1402.5,807.5
"M4,D3,H22",1250,1350,1350,750
"M4,D3,H23",1502,1535,1098,565
"M4,D3,H24",1502,1672.5,1098,427.5
"M4,D4,H1",2160,1967.5,440,132.5
"M4,D4,H2",2513,1967.5,87,132.5
"M4,D4,H3",2384,1967.5,216,132.5
"M4,D4,H4",2384,1927.5,216,172.5
"M4,D4,H5",2117,1727.5,483,372.5
"M4,D4,H6",2237.5,1772.5,362.5,327.5
"M4,D4,H7",2033,1820,567,280
"M4,D4,H8",2033,1715,567,385
"M4,D4,H9",1692.5,1890,907.5,210
"M4,D4,H10",1339.5,1425,1260.5,675
"M4,D4,H11",1510.5,1425,1089.5,675
"M4,D4,H12",1666.5,1425,933.5,675
"M4,D4,H13",1486,1610,1114,490
"M4,D4,H14",1313,1507.5,1287,592.5
"M4,D4,H15",1265.5,1275,1334.5,825
"M4,D4,H16",1265.5,1242.5,1334.5,857.5
"M4,D4,H17",948,1287.5,1652,812.5
"M4,D4,H18",948,1237.5,1652,862.5
"M4,D4,H19",777,1237.5,1823,862.5
"M4,D4,H20",750,1277.5,1850,822.5
"M4,D4,H21",1197.5,1292.5,1402.5,807.5
"M4,D4,H22",1250,1350,1350,750
"M4,D4,H23",1502,1535,1098,565
"M4,D4,H24",1502,1672.5,1098,427.5
"M4,D5,H1",2160,1967.5,440,132.5
"M4,D5,H2",2513,1967.5,87,132.5
"M4,D5,H3",2384,1967.5,216,132.5
"M4,D5,H4",2384,1927.5,216,172.5
"M4,D5,H5",2117,1727.5,483,372.5
"M4,D5,H6",2237.5,1772.5,362.5,327.5
"M4,D5,H7",2033,1820,567,280
"M4,D5,H8",2033,1715,567,385
"M4,D5,H9",1692.5,1890,907.5,210
"M4,D5,H10",1339.5,1425,1260.5,675
"M4,D5,H11",1510.5,1425,1089.5,675
"M4,D5,H12",1666.5,1425,933.5,675
"M4,D5,H13",1486,1610,1114,490
