Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M4,D1,H1",909.9267578987764,892.8099122897073,1690.0732421012235,1207.1900877102926
"M4,D1,H2",471.5401991014852,462.6699458460164,2128.459800898515,1637.3300541539836
"M4,D1,H3",580.5520526804044,569.6311518853713,2019.4479473195956,1530.3688481146287
"M4,D1,H4",1172.098192224377,1150.049578288347,1427.901807775623,949.950421711653
"M4,D1,H5",528.6135003932345,518.6696278842044,2071.3864996067655,1581.3303721157956
"M4,D1,H6",912.2642667388434,895.1034497028678,1687.7357332611566,1204.8965502971323
"M4,D1,H7",1072.3191844526918,1052.1475368287613,1527.6808155473082,1047.8524631712387
"M4,D1,H8",1636.5080791189073,1605.7233419023005,963.4919208810927,494.2766580976995
"M4,D1,H9",2832.5591616972156,2779.2752271074837,-232.5591616972156,-679.2752271074837
"M4,D1,H10",2282.846303017129,2239.9031459126913,317.1536969828712,-139.90314591269134
"M4,D1,H11",2597.4850981725463,2548.6231969136506,2.514901827453741,-448.62319691365065
"M4,D1,H12",2416.32200209678,2370.868002318604,183.67799790321988,-270.8680023186039
"M4,D1,H13",2824.0862660852845,2770.9617171216946,-224.08626608528448,-670.9617171216946
"M4,D1,H14",2777.952870446658,2725.6961476061197,-177.95287044665793,-625.6961476061197
"M4,D1,H15",2372.49369993974,2327.8641646306187,227.50630006025995,-227.8641646306187
"M4,D1,H16",2682.1474744199704,2631.6929693492357,-82.14747441997042,-531.6929693492357
"M4,D1,H17",2292.571239430131,2249.445144266455,307.42876056986916,-149.44514426645492
"M4,D1,H18",2246.0641491625497,2203.812909779218,353.9358508374503,-103.81290977921799
"M4,D1,H19",1951.960737163786,1915.2419460270667,648.039262836214,184.75805397293334
"M4,D1,H20",921.4083249875612,904.0754969277037,1678.5916750124388,1195.9245030722964
"M4,D1,H21",421.4240216453156,413.4965155555801,2178.5759783546846,1686.5034844444199
"M4,D1,H22",755.2670142017217,741.0595092970779,1844.7329857982782,1358.940490702922
"M4,D1,H23",578.9508212788064,568.0600416231372,2021.0491787211936,1531.9399583768627
"M4,D1,H24",1037.6385836460836,1018.1193209360854,1562.3614163539164,1081.8806790639146
"M4,D2,H1",909.9267578987764,892.8099122897073,1690.0732421012235,1207.1900877102926
"M4,D2,H2",471.5401991014852,462.6699458460164,2128.459800898515,1637.3300541539836
"M4,D2,H3",580.5520526804044,569.6311518853713,2019.4479473195956,1530.3688481146287
"M4,D2,H4",1172.098192224377,1150.049578288347,1427.901807775623,949.950421711653
"M4,D2,H5",528.6135003932345,518.6696278842044,2071.3864996067655,1581.3303721157956
"M4,D2,H6",912.2642667388434,895.1034497028678,1687.7357332611566,1204.8965502971323
"M4,D2,H7",1072.3191844526918,1052.1475368287613,1527.6808155473082,1047.8524631712387
"M4,D2,H8",1636.5080791189073,1605.7233419023005,963.4919208810927,494.2766580976995
"M4,D2,H9",2832.5591616972156,2779.2752271074837,-232.5591616972156,-679.2752271074837
"M4,D2,H10",2282.846303017129,2239.9031459126913,317.1536969828712,-139.90314591269134
"M4,D2,H11",2597.4850981725463,2548.6231969136506,2.514901827453741,-448.62319691365065
"M4,D2,H12",2416.32200209678,2370.868002318604,183.67799790321988,-270.8680023186039
"M4,D2,H13",2824.0862660852845,2770.9617171216946,-224.08626608528448,-670.9617171216946
"M4,D2,H14",2777.952870446658,2725.6961476061197,-177.95287044665793,-625.6961476061197
